# log(eps) FAR FRR
100.0 0.5 0.0
95.0 0.5125 0.0
90.0 0.5128125 0.0
85.0 0.5128203124999999 0.0
80.0 0.5128205078125 0.0
75.0 0.5128205126953125 0.0
70.0 0.5128205128173828 0.0
65.0 0.5128205128204346 0.0
60.0 0.5128205128205108 0.0
55.0 0.5128205128205128 0.0
50.0 0.5128205128205128 0.0
45.0 0.5128205128205128 0.0
40.0 0.5096955128205127 0.0
35.0 0.5080548878205129 0.0
30.0 0.5048888721955128 0.0
25.0 0.5001222218048879 0.0
20.0 0.5000030555451221 0.0
15.0 0.49843757638862807 0.0
10.0 0.4968359394097157 0.0
9.0 0.49471256515190953 0.0
8.0 0.4717428141287977 0.0
7.0 0.42685038853503804 0.0
6.0 0.38765989607701223 0.0
5.0 0.3208183913413192 0.00625
4.0 0.24703561129868454 0.010572916666666666
3.0 0.12492589028246712 0.014847656249999999
2.5 0.06926898059039502 0.03787119140625001
2.0 0.014231724514759875 0.05094677978515625
1.5 3.557931128689969E-4 0.10752366949462891
1.0 8.894827821724923E-6 0.4401880917373656
0.5 2.2237069554312306E-7 0.5110047022934341
0.0 5.559267388578076E-9 0.5127751175573358
